timestamp,confirmed,recovered,deaths,newConfirmed,newDeaths,newRecovered,growthRate,movingAvg,doublingTime,Days
04-20-2020,17656.0,2842.0,559.0,1540.0,40.0,540.0,0.0955572102258625,0.09537170681257175,8,42
04-21-2020,18985.0,3260.0,603.0,1329.0,44.0,418.0,0.07527186225645673,0.08377666917085085,9,43
04-22-2020,20471.0,3960.0,652.0,1486.0,49.0,700.0,0.07827232025283118,0.08019058031984193,9,44
04-23-2020,21700.0,4325.0,686.0,1229.0,34.0,365.0,0.06003614869815837,0.07887862861825956,9,45
04-24-2020,23452.0,4814.0,723.0,1752.0,37.0,489.0,0.0807373271889401,0.07836501422397975,9,46
04-25-2020,24942.0,5210.0,779.0,1490.0,56.0,396.0,0.0635340269486611,0.07755953394967262,9,47
04-26-2020,26917.0,5914.0,826.0,1975.0,47.0,704.0,0.07918370619838024,0.07608465739561289,9,48
04-27-2020,28380.0,6362.0,886.0,1463.0,60.0,448.0,0.05435226808336739,0.07019823708954216,10,49
04-28-2020,29974.0,7027.0,937.0,1594.0,51.0,665.0,0.05616631430584919,0.06746887309659823,11,50
04-29-2020,31709.0,7797.0,1008.0,1735.0,71.0,770.0,0.05788349903249483,0.06455618435083589,11,51
04-30-2020,33610.0,8373.0,1075.0,1901.0,67.0,576.0,0.059951433346999275,0.06454408215781317,11,52
05-01-2020,35365.0,9065.0,1152.0,1755.0,77.0,692.0,0.05221660220172568,0.06046969287392539,12,53
05-02-2020,37776.0,10018.0,1223.0,2411.0,71.0,953.0,0.06817474904566662,0.0611326531734976,12,54
05-03-2020,40263.0,10887.0,1306.0,2487.0,83.0,869.0,0.06583545108005083,0.059225759585164836,12,55
05-04-2020,42533.0,11707.0,1373.0,2270.0,67.0,820.0,0.056379306062638156,0.05951533643934637,12,56
